pl_name,st_teff,st_rad,st_mass
KOI-12 b,6820,1.63,1.45
Kepler-880 b,6819,1.54,1.47
Kepler-880 b,6819,1.54,1.47
Kepler-1137 b,6807,1.84,1.5
Kepler-1364 b,6805,1.79,1.49
HD 2685 b,6801,1.56,1.43
Kepler-1051 b,6797,1.33,1.31
KELT-7 b,6789,1.73,1.53
Kepler-1051 b,6784,1.26,1.14
Kepler-1051 b,6784,1.26,1.14
Kepler-1051 b,6784,1.26,1.14
Kepler-279 b,6781,1.07,1.1
Kepler-279 b,6781,1.07,1.1
Kepler-279 b,6781,1.07,1.1
Kepler-279 c,6781,1.07,1.1
Kepler-279 c,6781,1.07,1.1
Kepler-279 c,6781,1.07,1.1
Kepler-279 d,6781,1.07,1.1
Kepler-279 d,6781,1.07,1.1
Kepler-279 d,6781,1.07,1.1
XO-3 b,6781,1.49,1.41
KOI-12 b,6779.23,1.49,1.45
KOI-12 b,6779.23,1.49,1.45
Kepler-279 b,6779,1.27,1.31
Kepler-279 c,6779,1.27,1.31
Kepler-279 d,6779,1.27,1.31
Kepler-1360 b,6778,1.83,1.51
WASP-121 b,6776,1.52,1.45
Kepler-1345 b,6774,1.46,1.31
K2-63 b,6771,1.63,1.4
K2-63 c,6771,1.63,1.4
Kepler-1015 b,6769,1.81,1.49
KELT-7 b,6768,1.81,1.76
Kepler-217 b,6765,1.44,1.43
Kepler-217 b,6765,1.44,1.43
Kepler-217 b,6765,1.44,1.43
Kepler-217 c,6765,1.44,1.43
Kepler-217 c,6765,1.44,1.43
Kepler-217 c,6765,1.44,1.43
Kepler-217 d,6765,1.44,1.43
Kepler-217 d,6765,1.44,1.43
Kepler-217 d,6765,1.44,1.43
Kepler-1345 b,6763,1.42,1.24
Kepler-1345 b,6763,1.42,1.24
Kepler-1345 b,6763,1.42,1.24
Kepler-1345 b,6763,1.42,1.24
Kepler-812 b,6761,1.71,1.45
Kepler-880 b,6761,1.74,1.46
Kepler-1000 b,6749,1.48,1.34
Kepler-1000 b,6749,1.48,1.34
Kepler-1000 b,6749,1.48,1.34
Kepler-470 b,6748,1.41,1.29
Kepler-470 b,6748,1.41,1.29
Kepler-470 b,6748,1.41,1.29
K2-278 b,6747,1.61,1.4
Kepler-644 b,6747,1.81,1.49
Kepler-393 b,6742,1.7,1.38
Kepler-393 c,6742,1.7,1.38
Kepler-1000 b,6741,1.41,1.29
Kepler-470 b,6741,1.39,1.29
CoRoT-3 b,6740,1.56,1.37
CoRoT-3 b,6740,1.57,1.4
CoRoT-3 b,6740,1.56,1.37
Kepler-1502 b,6739,1.72,1.44
Kepler-1502 b,6739,1.72,1.44
Kepler-393 b,6735,1.6,1.31
Kepler-393 b,6735,1.6,1.31
Kepler-393 b,6735,1.6,1.31
Kepler-393 c,6735,1.6,1.31
Kepler-393 c,6735,1.6,1.31
Kepler-393 c,6735,1.6,1.31
Kepler-1244 b,6733,1.59,1.34
Kepler-471 b,6733,1.8,1.49
WASP-100 b,6733,1.77,1.44
Kepler-1244 b,6732,1.93,1.23
Kepler-1326 b,6732,1.34,1.43
Kepler-1326 b,6732,1.34,1.43
Kepler-516 b,6731,1.84,1.43
Kepler-1244 b,6728,1.48,1.14
Kepler-1244 b,6728,1.48,1.14
Kepler-1244 b,6728,1.48,1.14
HAT-P-14 b,6727.61,1.55,1.43
Kepler-1326 b,6725,1.74,1.45
Kepler-1618 b,6725,1.39,1.28
Kepler-1618 b,6725,1.39,1.28
Kepler-1618 b,6725,1.39,1.28
Kepler-637 b,6722,1.47,1.3
Kepler-637 b,6722,1.47,1.3
Kepler-637 b,6722,1.47,1.3
Kepler-637 b,6721,1.46,1.3
Kepler-812 b,6720.56,1.75,1.43
Kepler-812 b,6720.56,1.75,1.43
Kepler-1618 b,6720,1.29,1.26
XO-6 b,6720,1.93,1.47
Kepler-1394 b,6717,1.55,1.32
Kepler-1015 b,6716,1.34,1.28
Kepler-1394 b,6712,1.52,1.33
Kepler-1394 b,6712,1.52,1.33
Kepler-1394 b,6712,1.52,1.33
Kepler-1015 b,6711,1.34,1.25
Kepler-1015 b,6711,1.34,1.25
Kepler-1015 b,6711,1.34,1.25
Kepler-1137 b,6709.77,1.76,1.43
Kepler-1137 b,6709.77,1.76,1.43
Kepler-1375 b,6704,1.78,1.47
WASP-93 b,6700,1.52,1.33
Kepler-1626 b,6697,1.5,1.42
Kepler-758 b,6692,1.35,1.26
Kepler-758 b,6692,1.35,1.26
Kepler-758 b,6692,1.35,1.26
Kepler-758 c,6692,1.35,1.26
Kepler-758 c,6692,1.35,1.26
Kepler-758 c,6692,1.35,1.26
Kepler-758 d,6692,1.35,1.26
Kepler-758 d,6692,1.35,1.26
Kepler-758 d,6692,1.35,1.26
Kepler-758 e,6692,1.35,1.26
Kepler-758 e,6692,1.35,1.26
Kepler-758 e,6692,1.35,1.26
Kepler-279 b,6689.45,1.35,1.42
Kepler-279 b,6689.45,1.35,1.42
Kepler-279 c,6689.45,1.35,1.42
Kepler-279 d,6689.45,1.35,1.42
Kepler-1181 b,6688,1.35,1.34
Kepler-462 b,6688,1.79,1.35
Kepler-462 c,6688,1.79,1.35
Kepler-1511 b,6684.51,1.96,1.41
Kepler-1511 b,6684.51,1.96,1.41
Kepler-1586 b,6681,1.75,1.45
Kepler-1360 b,6680.5,2.16,1.41
Kepler-1360 b,6680.5,2.16,1.41
Kepler-1181 b,6680,1.32,1.33
Kepler-1181 b,6680,1.32,1.33
Kepler-1181 b,6680,1.32,1.33
Kepler-1244 b,6680,1.77,1.46
Kepler-758 b,6678,1.24,1.27
Kepler-758 c,6678,1.24,1.27
Kepler-758 d,6678,1.24,1.27
Kepler-758 e,6678,1.24,1.27
Kepler-1051 b,6675,1.73,1.43
XO-3 b,6673,1.69,1.41
XO-3 b,6673,1.69,1.41
KELT-18 b,6670,1.91,1.52
Kepler-471 b,6669,1.7,1.41
Kepler-1502 b,6666,1.72,1.44
Kepler-1435 b,6664,1.34,1.24
Kepler-1435 b,6664,1.34,1.24
Kepler-1435 b,6664,1.34,1.24
Kepler-521 b,6663.52,1.62,1.41
Kepler-521 b,6663.52,1.62,1.41
Kepler-1112 b,6661,1.29,1.33
Kepler-1112 b,6661,1.29,1.33
Kepler-1112 b,6661,1.29,1.33
Kepler-217 b,6658.99,1.79,1.4
Kepler-217 b,6658.99,1.79,1.4
Kepler-217 c,6658.99,1.79,1.4
Kepler-217 c,6658.99,1.79,1.4
Kepler-217 d,6658.99,1.79,1.4
Kepler-521 b,6658,1.82,1.39
Kepler-217 b,6653,1.36,1.38
Kepler-217 c,6653,1.36,1.38
Kepler-217 d,6653,1.36,1.38
Kepler-1112 b,6652,1.2,1.25
Kepler-521 b,6652,1.7,1.23
Kepler-521 b,6652,1.7,1.23
Kepler-521 b,6652,1.7,1.23
WASP-17 b,6650,1.57,1.31
WASP-17 b,6650,1.57,1.31
WASP-17 b,6650,1.58,1.2
Kepler-1112 b,6643,1.22,1.24
Kepler-340 b,6642,1.85,1.42
Kepler-340 c,6642,1.85,1.42
Kepler-1435 b,6640,1.26,1.25
Kepler-381 b,6638,1.35,1.38
Kepler-381 c,6638,1.35,1.38
KOI-12 b,6635,1.52,1.31
KOI-12 b,6635,1.52,1.31
KOI-12 b,6635,1.4,1.26
KOI-12 b,6635,1.52,1.31
Kepler-470 b,6631.95,1.51,1.39
HATS-66 b,6626,1.84,1.41
Kepler-1543 b,6620.14,1.33,1.39
Kepler-1618 b,6620,1.65,1.41
Kepler-1070 b,6616,1.35,1.23
Kepler-1070 b,6616,1.35,1.23
Kepler-1070 b,6616,1.35,1.23
Kepler-1422 b,6616,1.3,1.31
Kepler-1422 b,6616,1.3,1.31
Kepler-1422 b,6616,1.3,1.31
Kepler-470 b,6613,1.66,1.4
Kepler-1511 b,6602,1.69,1.33
Kepler-1511 b,6602,1.69,1.33
Kepler-1511 b,6602,1.69,1.33
Kepler-1511 b,6602,1.69,1.33
Kepler-1543 b,6602,1.4,1.43
Kepler-1543 b,6602,1.4,1.43
Kepler-1543 b,6602,1.4,1.43
HAT-P-14 b,6600,1.47,1.39
HAT-P-14 b,6600,1.47,1.39
HAT-P-14 b,6600,1.59,1.42
HAT-P-14 b,6600,1.82,2.65
WASP-180 A b,6600,1.19,1.3
WASP-66 b,6600,1.76,1.33
WASP-66 b,6600,1.75,1.3
WASP-66 b,6600,1.75,1.3
WASP-79 b,6600,1.91,1.52
WASP-79 b,6600,1.6,1.43
WASP-79 b,6600,1.51,1.39
WASP-79 b,6600,1.69,1.42
KELT-1 b,6596.04,1.46,1.38
KELT-1 b,6596.04,1.46,1.38
HATS-67 b,6594,1.44,1.44
HAT-P-14 b,6583,1.53,1.32
Kepler-1070 b,6582,1.25,1.23
WASP-66 b,6580,1.75,1.3
Kepler-1080 b,6578.02,2.07,1.37
Kepler-1080 b,6578.02,2.07,1.37
HD 113337 b,6576.6,1.5,1.4
HATS-39 b,6572,1.62,1.38
Kepler-1422 b,6572,1.24,1.3
HAT-P-6 b,6570,1.52,1.29
HAT-P-6 b,6570,1.46,1.29
HAT-P-6 b,6570,1.46,1.29
HAT-P-6 b,6570,1.46,1.29
HAT-P-6 b,6570,1.62,1.79
K2-243 b,6570,1.39,1.29
K2-243 c,6570,1.39,1.29
Kepler-642 b,6570,1.66,1.4
Kepler-642 b,6570,2.3,1.4
Kepler-1244 b,6568.52,2.53,1.36
Kepler-483 b,6568,1.18,1.23
HAT-P-56 b,6566,1.47,1.42
HAT-P-56 b,6566,1.43,1.3
HAT-P-56 b,6566,1.43,1.3
Kepler-1394 b,6565,1.97,1.36
Kepler-1080 b,6564,1.36,1.21
Kepler-1239 b,6564,1.57,1.4
HATS-11 b,6563,1.54,1.33
Kepler-1543 b,6561,1.65,1.39
CoRoT-3 b,6558,1.44,1.41
Kepler-642 b,6558,1.24,1.22
HD 111998 b,6557,1.45,1.18
HATS-64 b,6554,2.11,1.56
Kepler-381 b,6550,2.06,1.27
Kepler-381 b,6550,2.06,1.27
Kepler-381 b,6550,2.06,1.27
Kepler-381 c,6550,2.06,1.27
Kepler-381 c,6550,2.06,1.27
Kepler-381 c,6550,2.06,1.27
WASP-17 b,6550,1.38,1.2
WASP-17 b,6550,1.49,2.28
Kepler-1080 b,6549,1.44,1.23
Kepler-1080 b,6549,1.44,1.23
Kepler-1080 b,6549,1.44,1.23
WASP-17 b,6548,1.57,1.35
WASP-17 b,6548,1.57,1.35
Kepler-1616 b,6547,1.63,1.29
Kepler-483 b,6543,1.09,1.11
Kepler-483 b,6543,1.09,1.11
Kepler-483 b,6543,1.09,1.11
Kepler-1487 b,6541,1.63,1.38
Kepler-1293 b,6540,1.19,1.22
Kepler-1421 b,6540,1.15,1.17
Kepler-1421 b,6540,1.15,1.17
Kepler-1421 b,6540,1.15,1.17
Kepler-465 b,6538,1.21,1.21
Kepler-527 b,6538,1.17,1.22
HATS-56 b,6536,2.2,1.57
Kepler-1112 b,6535.76,1.46,1.35
Kepler-1112 b,6535.76,1.46,1.35
Kepler-1375 b,6535.29,2.01,1.35
Kepler-1626 b,6535,1.18,1.2
Kepler-275 b,6535,1.28,1.34
Kepler-275 b,6535,1.28,1.34
Kepler-275 b,6535,1.28,1.34
Kepler-275 c,6535,1.28,1.34
Kepler-275 c,6535,1.28,1.34
Kepler-275 c,6535,1.28,1.34
Kepler-275 d,6535,1.28,1.34
Kepler-275 d,6535,1.28,1.34
Kepler-275 d,6535,1.28,1.34
Kepler-402 b,6534,1.23,1.21
Kepler-402 c,6534,1.23,1.21
Kepler-402 d,6534,1.23,1.21
Kepler-402 e,6534,1.23,1.21
Kepler-527 b,6534,1.9,1.24
HAT-P-7 b,6532.23,1.99,1.35
HAT-P-7 b,6532.23,1.99,1.35
Kepler-1293 b,6528,1.16,1.18
Kepler-1293 b,6528,1.16,1.18
Kepler-1293 b,6528,1.16,1.18
Kepler-1421 b,6528,1.2,1.21
Kepler-1616 b,6528,1.16,1.18
Kepler-1616 b,6528,1.16,1.18
Kepler-1616 b,6528,1.16,1.18
Kepler-642 b,6528,1.16,1.18
Kepler-642 b,6528,1.16,1.18
Kepler-642 b,6528,1.16,1.18
Kepler-433 b,6526,1.62,1.38
Kepler-1531 b,6522,1.53,1.05
Kepler-1531 b,6522,1.53,1.05
Kepler-1531 b,6522,1.53,1.05
